string_id,vi,en
invalid_bank_name,T-tên ngân hàng sai rồi! L-làm sao chuyển được... (>_<),I-invalid bank name! H-how am I supposed to transfer... (>_<)
command_param_bankname_desc,T-tên ngân hàng...,B-bank name...
command_param_accountnumber_desc,S-số tài khoản (k-kha khá tiền đó nha)...,A-account number...
command_param_accountname_desc,T-tên chủ thẻ...,A-account owner name...
command_param_amount_desc,S-số tiền (đừng nhìn chằm chằm nha)...,A-amount...
command_param_note_desc,G-ghi chú gửi gắm...,N-notes to write...
command_desc,T-tạo mã VietQR... m-mình cũng xài quét mã đi ăn...,G-generate a VietQR code...
command_usage,Tạo lẹ mã QR chuyển tiền giùm... k-không làm chậm trễ người khác m-mắc cỡ lắm...,Generate a quick VietQR code... I-I don't wanna slow others down...
